id,name,urban_area,state_code,state,postcode,type,latitude,longitude,elevation,population,median_income,area_sq_km,local_government_area,region,time_zone
1391,Bolangum,,VIC,Victoria,3387,Rural locality,-36.72041,142.99218,199,0,0,29.02900,Northern Grampians (Shire),North West,Australia/Melbourne
1392,Bolaro,,NSW,New South Wales,2629,Rural locality,-35.97899,148.84102,979,39,20124,127.85600,Snowy Monaro Regional (Area),Capital Region,Australia/Sydney
1393,Bolgart,,WA,Western Australia,6568,Rural locality,-31.27494,116.50862,240,152,24648,261.04600,Victoria Plains (Shire),Western Australia - Wheat Belt,Australia/Perth
1394,Bolinda,,VIC,Victoria,3432,Rural locality,-37.43333,144.74651,389,197,45656,27.65500,Macedon Ranges (Shire),Melbourne - North West,Australia/Melbourne
1395,Bolivar,Adelaide,SA,South Australia,5110,Suburb,-34.77448,138.58850,12,269,21632,10.88900,Salisbury (City),Adelaide - North,Australia/Adelaide
1396,Bolivia,,NSW,New South Wales,2372,Rural locality,-29.29943,151.95019,822,66,24856,290.06100,Tenterfield (Area),New England and North West,Australia/Sydney
1397,Bollards Lagoon,,SA,South Australia,5731,Rural locality,-28.98315,139.83549,19,15,55848,31677.03600,Unincorporated,South Australia - Outback,Australia/Adelaide
1398,Bollier,,QLD,Queensland,4570,Rural locality,-26.43676,152.73328,90,200,23920,32.67000,Gympie (Regional Council),Wide Bay,Australia/Brisbane
1399,Bollon,,QLD,Queensland,4488,Rural locality,-28.03152,147.47786,188,221,33436,7113.60600,Balonne (Shire),Darling Downs - Maranoa,Australia/Brisbane
1400,Bolong,,NSW,New South Wales,2540,Rural locality,-34.84701,150.64957,3,104,35932,16.41300,Shoalhaven (City),Southern Highlands and Shoalhaven,Australia/Sydney
1401,Bolto,,SA,South Australia,5238,Urban locality,-34.91497,139.31697,6,15,24232,0.16400,Mid Murray (District Council),South Australia - South East,Australia/Adelaide
1402,Bolton,,VIC,Victoria,3546,Rural locality,-34.96464,142.88436,58,12,54184,139.38400,Swan Hill (Rural City),North West,Australia/Melbourne
1403,Bolton Point,Newcastle,NSW,New South Wales,2283,Suburb,-33.00042,151.61035,6,2119,26104,1.68200,Lake Macquarie (City),Newcastle and Lake Macquarie,Australia/Sydney
1404,Bolwarra,,NSW,New South Wales,2320,Rural locality,-32.71282,151.57205,4,989,38636,4.46900,Maitland (City),Hunter Valley exc Newcastle,Australia/Sydney
1405,Bolwarra,,QLD,Queensland,4871,Rural locality,-17.38921,144.17947,301,0,0,1557.84400,Mareeba (Shire),Queensland - Outback,Australia/Brisbane
1406,Bolwarra,,VIC,Victoria,3305,Rural locality,-38.28182,141.61496,37,601,30784,23.34700,Glenelg (Shire),Warrnambool and South West,Australia/Melbourne
1407,Bolwarrah,,VIC,Victoria,3352,Rural locality,-37.51361,144.09506,629,25,28600,21.44600,Moorabool (Shire),Ballarat,Australia/Melbourne
1408,Bolwarra Heights,Maitland,NSW,New South Wales,2320,Suburb,-32.70058,151.58471,46,2979,42068,7.22700,Maitland (City),Hunter Valley exc Newcastle,Australia/Sydney
1409,Bomaderry,,NSW,New South Wales,2541,Major urban locality,-34.85541,150.60838,12,6661,26260,7.45300,Shoalhaven (City),Southern Highlands and Shoalhaven,Australia/Sydney
1410,Bombah Point,,NSW,New South Wales,2423,Rural locality,-32.49400,152.27629,20,12,46800,54.35100,Mid-Coast (Area),Mid North Coast,Australia/Sydney
1411,Bombala,,NSW,New South Wales,2632,Urban locality,-36.90954,149.24220,706,1387,31096,119.71200,Snowy Monaro Regional (Area),Capital Region,Australia/Sydney
1412,Bombay,,NSW,New South Wales,2622,Rural locality,-35.43642,149.66664,681,117,38636,159.65300,Queanbeyan-Palerang Regional (Area),Capital Region,Australia/Sydney
1413,Bombeeta,,QLD,Queensland,4871,Rural locality,-17.67867,145.96608,75,136,27196,18.02300,Cassowary Coast (Regional Council),Cairns,Australia/Brisbane
1414,Bombira,,NSW,New South Wales,2850,Urban locality,-32.56379,149.59978,472,348,48152,7.04800,Mid-Western Regional (Area),Central West,Australia/Sydney
1415,Bombo,Kiama,NSW,New South Wales,2533,Suburb,-34.65640,150.85403,12,112,29120,1.79800,Kiama (Area),Illawarra,Australia/Sydney
1416,Bom Bom,,NSW,New South Wales,2460,Rural locality,-29.73964,152.96219,81,3,0,24.20300,Clarence Valley (Area),Coffs Harbour - Grafton,Australia/Sydney
1417,Bombowlee,,NSW,New South Wales,2720,Rural locality,-35.25981,148.25013,275,293,35620,27.91800,Snowy Valleys (Area),Riverina,Australia/Sydney
1418,Bombowlee Creek,,NSW,New South Wales,2720,Rural locality,-35.27861,148.28000,306,51,34736,21.36800,Snowy Valleys (Area),Riverina,Australia/Sydney
1419,Bomen,,NSW,New South Wales,2650,Rural locality,-35.07272,147.41061,217,25,44148,27.36900,Wagga Wagga (City),Riverina,Australia/Sydney
1420,Bomera,,NSW,New South Wales,2357,Rural locality,-31.50933,149.79325,468,39,32968,339.02400,Warrumbungle Shire (Area),Far West and Orana,Australia/Sydney
1421,Bon Accord,,QLD,Queensland,4625,Rural locality,-25.57963,151.66493,105,19,36400,11.13000,North Burnett (Regional Council),Wide Bay,Australia/Brisbane
1422,Bonalbo,,NSW,New South Wales,2469,Urban locality,-28.73647,152.62283,174,371,22568,85.86000,Kyogle (Area),Richmond - Tweed,Australia/Sydney
1423,Bonang,,VIC,Victoria,3888,Rural locality,-37.20333,148.72999,692,48,23972,529.77700,East Gippsland (Shire),Latrobe - Gippsland,Australia/Melbourne
1424,Bona Vista,,VIC,Victoria,3820,Rural locality,-38.20537,145.96363,147,109,39884,13.87000,Baw Baw (Shire),Latrobe - Gippsland,Australia/Melbourne
1425,Bonbeach,Melbourne,VIC,Victoria,3196,Suburb,-38.06247,145.11940,11,6416,41236,2.79800,Kingston (City),Melbourne - Inner South,Australia/Melbourne
1426,Bon Bon,,SA,South Australia,5719,Rural locality,-30.55996,135.87978,156,5,43316,6281.45500,Unincorporated,South Australia - Outback,Australia/Adelaide
1427,Bondi,Sydney,NSW,New South Wales,2026,Suburb,-33.89374,151.26250,80,10045,57356,0.86500,Waverley (Area),Sydney - Eastern Suburbs,Australia/Sydney
1428,Bondi Beach,Sydney,NSW,New South Wales,2026,Suburb,-33.89054,151.27486,18,11656,64532,1.21900,Waverley (Area),Sydney - Eastern Suburbs,Australia/Sydney
1429,Bondi Forest,,NSW,New South Wales,2632,Rural locality,-37.15591,149.14848,826,0,0,161.59000,Snowy Monaro Regional (Area),Capital Region,Australia/Sydney
1430,Bondi Junction,Sydney,NSW,New South Wales,2022,Suburb,-33.89232,151.24733,99,9445,54964,1.07900,Waverley (Area),Sydney - Eastern Suburbs,Australia/Sydney
1431,Bondoola,,QLD,Queensland,4703,Rural locality,-23.16938,150.68755,57,530,29380,44.03300,Livingstone (Shire),Central Queensland,Australia/Brisbane
1432,Bonegilla,,VIC,Victoria,3691,Rural locality,-36.14032,147.00700,198,693,43680,61.01400,Wodonga (City),Hume,Australia/Melbourne
1433,Boneo,,VIC,Victoria,3939,Rural locality,-38.39847,144.90410,38,354,33228,34.20600,Mornington Peninsula (Shire),Mornington Peninsula,Australia/Melbourne
1434,Bongaree,,QLD,Queensland,4507,Urban locality,-27.08745,153.16169,8,6947,24076,6.92300,Moreton Bay (Regional Council),Moreton Bay - North,Australia/Brisbane
1435,Bongeen,,QLD,Queensland,4356,Rural locality,-27.56771,151.44680,371,75,38428,111.87500,Toowoomba (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
1436,Bonn,,VIC,Victoria,3561,Rural locality,-36.39793,144.70136,127,33,38948,44.06100,Campaspe (Shire),Shepparton,Australia/Melbourne
1437,Bonnells Bay,Morisset - Cooranbong,NSW,New South Wales,2264,Suburb,-33.10741,151.51826,19,3578,29692,3.27700,Lake Macquarie (City),Newcastle and Lake Macquarie,Australia/Sydney
1438,Bonner,Canberra,ACT,Australian Capital Territory,2914,Suburb,-35.15598,149.14297,652,6730,56784,2.75600,Unincorporated,Australian Capital Territory,Australia/Sydney
1439,Bonnet Bay,Sydney,NSW,New South Wales,2226,Suburb,-34.00952,151.05425,34,2262,49868,1.13000,Sutherland Shire (Area),Sydney - Sutherland,Australia/Sydney
1440,Bonnet Hill,Hobart,TAS,Tasmania,7053,Suburb,-42.97202,147.33113,115,505,44512,2.22100,Kingborough (Municipality),Hobart,Australia/Hobart
1441,Bonnie Brook,,VIC,Victoria,3335,Suburb,-37.69444,144.66944,126,0,,0.00000,Melton (City),Melbourne - West,Australia/Melbourne
1442,Bonnie Doon,,QLD,Queensland,4873,Rural locality,-16.45298,145.39871,11,372,39312,11.27300,Douglas (Shire),Cairns,Australia/Brisbane
1443,Bonnie Doon,,VIC,Victoria,3720,Rural locality,-37.02646,145.86041,319,570,28600,192.63100,Mansfield (Shire),Hume,Australia/Melbourne
1444,Bonniefield,,WA,Western Australia,6525,Rural locality,-29.20583,114.93917,33,186,34268,53.71600,Irwin (Shire),Western Australia - Outback (South),Australia/Perth
1445,Bonnie Rock,,WA,Western Australia,6479,Rural locality,-30.53758,118.35429,422,41,35724,1247.23600,Mukinbudin (Shire),Western Australia - Wheat Belt,Australia/Perth
1446,Bonny Hills,,NSW,New South Wales,2445,Urban locality,-31.59498,152.84061,22,2971,30576,20.74700,Port Macquarie-Hastings (Area),Mid North Coast,Australia/Sydney
1447,Bonnyrigg,Sydney,NSW,New South Wales,2177,Suburb,-33.88880,150.88651,50,8670,22204,3.04200,Fairfield (City),Sydney - South West,Australia/Sydney
1448,Bonnyrigg Heights,Sydney,NSW,New South Wales,2177,Suburb,-33.89267,150.86845,59,7303,26416,2.15400,Fairfield (City),Sydney - South West,Australia/Sydney
1449,Bonogin,Gold Coast,QLD,Queensland,4213,Suburb,-28.13832,153.34158,61,4573,38480,39.36500,Gold Coast (City),Gold Coast,Australia/Brisbane
1450,Bonshaw,,NSW,New South Wales,2361,Rural locality,-29.05085,151.22372,376,133,23868,431.23200,Inverell (Area),New England and North West,Australia/Sydney
1451,Bonshaw,,QLD,Queensland,4385,Rural locality,-29.02175,151.30531,316,40,35464,122.32400,Goondiwindi (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
1452,Bonshaw,,VIC,Victoria,3352,Rural locality,-37.60349,143.81560,403,210,32916,3.39300,Ballarat (City),Ballarat,Australia/Melbourne
1453,Bonville,,NSW,New South Wales,2450,Urban locality,-30.37488,153.01710,20,2554,30316,68.88700,Coffs Harbour (City),Coffs Harbour - Grafton,Australia/Sydney
1454,Bony Mountain,,QLD,Queensland,4370,Rural locality,-28.13326,151.83516,438,94,21164,68.17000,Southern Downs (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
1455,Bonython,Canberra,ACT,Australian Capital Territory,2905,Suburb,-35.42902,149.08175,585,3786,50388,2.90500,Unincorporated,Australian Capital Territory,Australia/Sydney
1456,Booborowie,,SA,South Australia,5417,Rural locality,-33.56143,138.76027,398,218,23504,172.23900,Goyder (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
1457,Boobyalla,,TAS,Tasmania,7264,Rural locality,-40.89360,147.87882,9,4,0,53.57100,Dorset (Municipality),Launceston and North East,Australia/Hobart
1458,Boodarie,,WA,Western Australia,6722,Rural locality,-20.39556,118.57265,12,176,59384,831.79700,Port Hedland (Town),Western Australia - Outback (North),Australia/Perth
1459,Boodarockin,,WA,Western Australia,6423,Rural locality,-30.99874,118.85535,372,3,0,322.56100,Westonia (Shire),Western Australia - Wheat Belt,Australia/Perth
1460,Boodua,,QLD,Queensland,4401,Rural locality,-27.37153,151.81437,450,93,31148,24.30800,Toowoomba (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
1461,Booerie Creek,,NSW,New South Wales,2480,Rural locality,-28.77604,153.25995,20,167,25324,12.72700,Lismore (City),Richmond - Tweed,Australia/Sydney
1462,Boogan,,QLD,Queensland,4871,Rural locality,-17.60508,146.01237,19,119,36816,12.83400,Cassowary Coast (Regional Council),Cairns,Australia/Brisbane
1463,Booie,,QLD,Queensland,4610,Rural locality,-26.49843,151.93542,355,1040,26884,140.98700,South Burnett (Regional Council),Wide Bay,Australia/Brisbane
1464,Bookaar,,VIC,Victoria,3260,Rural locality,-38.13495,143.10280,143,163,29900,228.30300,Corangamite (Shire),Warrnambool and South West,Australia/Melbourne
1465,Bookara,,WA,Western Australia,6525,Rural locality,-29.04111,114.86522,61,117,31408,141.13600,Irwin (Shire),Western Australia - Outback (South),Australia/Perth
1466,Book Book,,NSW,New South Wales,2650,Rural locality,-35.35657,147.55700,251,92,40248,158.82000,Wagga Wagga (City),Riverina,Australia/Sydney
1467,Booker Bay,Central Coast,NSW,New South Wales,2257,Suburb,-33.51157,151.34478,4,1326,28860,0.49400,Central Coast (City),Central Coast,Australia/Sydney
1468,Bookham,,NSW,New South Wales,2582,Rural locality,-34.78942,148.63778,438,161,32760,210.29500,Yass Valley (Area),Capital Region,Australia/Sydney
1469,Bookookoorara,,NSW,New South Wales,2372,Rural locality,-28.74315,152.11251,942,30,24024,169.65600,Tenterfield (Area),New England and North West,Australia/Sydney
1470,Bookpurnong,,SA,South Australia,5333,Rural locality,-34.37697,140.60598,47,123,34788,59.74800,Loxton Waikerie (District Council),South Australia - South East,Australia/Adelaide
1471,Bookram,,NSW,New South Wales,2460,Rural locality,-29.71226,153.22951,51,0,0,66.03000,Clarence Valley (Area),Coffs Harbour - Grafton,Australia/Sydney
1472,Boola,,VIC,Victoria,3825,Rural locality,-38.05254,146.46533,377,0,0,68.50300,Baw Baw (Shire),Latrobe - Gippsland,Australia/Melbourne
1473,Boolambayte,,NSW,New South Wales,2423,Rural locality,-32.40663,152.27121,13,87,23608,89.89100,Mid-Coast (Area),Mid North Coast,Australia/Sydney
1474,Boolarong,,VIC,Victoria,3960,Rural locality,-38.56692,146.25570,394,15,55224,13.34000,South Gippsland (Shire),Latrobe - Gippsland,Australia/Melbourne
1475,Boolaroo,Newcastle,NSW,New South Wales,2284,Suburb,-32.94781,151.62767,31,1039,30628,2.71000,Lake Macquarie (City),Newcastle and Lake Macquarie,Australia/Sydney
1476,Boolarra,,VIC,Victoria,3870,Urban locality,-38.37892,146.27538,94,973,25844,42.45000,Latrobe (City),Latrobe - Gippsland,Australia/Melbourne
1477,Boolarra South,,VIC,Victoria,3870,Rural locality,-38.44687,146.28496,263,137,29432,48.30100,Latrobe (City),Latrobe - Gippsland,Australia/Melbourne
1478,Boolboonda,,QLD,Queensland,4671,Rural locality,-25.07943,151.67995,258,52,21216,34.74900,Bundaberg (Regional Council),Wide Bay,Australia/Brisbane
1479,Boolburra,,QLD,Queensland,4702,Rural locality,-23.73794,149.78397,67,24,49348,320.08900,Central Highlands (Regional Council),Central Queensland,Australia/Brisbane
1480,Boolcarroll,,NSW,New South Wales,2388,Rural locality,-30.08743,149.43859,185,14,58500,141.65200,Narrabri (Area),New England and North West,Australia/Sydney
1481,Boole Poole,,VIC,Victoria,3880,Rural locality,-37.89932,147.78963,-2,0,0,94.96200,East Gippsland (Shire),Latrobe - Gippsland,Australia/Melbourne
1482,Booleroo,,SA,South Australia,5482,Rural locality,-32.86585,138.34898,398,516,30212,440.76300,Mount Remarkable (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
1483,Boolgun,,SA,South Australia,5330,Rural locality,-34.41794,140.03518,67,18,14248,177.87800,Loxton Waikerie (District Council),South Australia - South East,Australia/Adelaide
1484,Booligal,,NSW,New South Wales,2711,Rural locality,-33.67944,144.74950,92,95,36036,4519.35400,Hay (Area),Murray,Australia/Sydney
1485,Boolijah,,NSW,New South Wales,2540,Rural locality,-35.10724,150.35380,515,0,0,109.71200,Shoalhaven (City),Southern Highlands and Shoalhaven,Australia/Sydney
1486,Boolite,,VIC,Victoria,3392,Rural locality,-36.34364,142.65012,115,37,35100,97.10700,Yarriambiack (Shire),North West,Australia/Melbourne
1487,Bool Lagoon,,SA,South Australia,5271,Rural locality,-37.14367,140.71502,52,42,28600,114.84700,Naracoorte and Lucindale (District Council),South Australia - South East,Australia/Adelaide
1488,Boomahnoomoonah,,VIC,Victoria,3728,Rural locality,-36.09925,146.08490,134,22,48828,31.92800,Moira (Shire),Shepparton,Australia/Melbourne
1489,Boomanoomana,,NSW,New South Wales,2712,Rural locality,-35.88399,145.82869,122,99,27560,246.50500,Berrigan (Area),Murray,Australia/Sydney
1490,Boomerang Beach,,NSW,New South Wales,2428,Urban locality,-32.33920,152.54168,10,298,33436,1.94600,Mid-Coast (Area),Mid North Coast,Australia/Sydney
1491,Boomer Bay,,TAS,Tasmania,7177,Rural locality,-42.86752,147.82854,11,93,24908,5.08300,Sorell (Municipality),Hobart,Australia/Hobart
1492,Boomey,,NSW,New South Wales,2866,Rural locality,-33.00088,148.98233,604,76,34788,92.54000,Cabonne (Area),Central West,Australia/Sydney
1493,Boomi,,NSW,New South Wales,2405,Rural locality,-28.72541,149.57915,184,201,42536,1086.61700,Moree Plains (Area),New England and North West,Australia/Sydney
1494,Boomi Creek,,NSW,New South Wales,2476,Rural locality,-28.47042,152.60396,393,20,22100,80.66000,Kyogle (Area),Richmond - Tweed,Australia/Sydney
1495,Boompa,,QLD,Queensland,4621,Rural locality,-25.58938,152.18341,145,83,22932,312.42200,Fraser Coast (Regional Council),Wide Bay,Australia/Brisbane
1496,Boonah,,QLD,Queensland,4310,Urban locality,-27.99723,152.68148,106,2484,25428,11.11400,Scenic Rim (Regional Council),Ipswich,Australia/Brisbane
1497,Boonah,,VIC,Victoria,3235,Rural locality,-38.41996,143.94844,418,21,29848,53.74000,Surf Coast (Shire),Geelong,Australia/Melbourne
1498,Boonal,,NSW,New South Wales,2409,Rural locality,-28.78500,150.52360,252,43,37024,266.29900,Gwydir (Area),New England and North West,Australia/Sydney
1499,Boona Mount,,NSW,New South Wales,2877,Rural locality,-32.63116,147.26431,333,22,37700,394.68900,Lachlan (Area),Central West,Australia/Sydney
1500,Boonanarring,,WA,Western Australia,6503,Rural locality,-31.26155,115.84934,87,41,52780,197.52100,Gingin (Shire),Western Australia - Wheat Belt,Australia/Perth
1501,Boonara,,QLD,Queensland,4601,Rural locality,-26.09151,152.05689,215,74,26624,86.72300,Gympie (Regional Council),Wide Bay,Australia/Brisbane
1502,Boonarga,,QLD,Queensland,4413,Rural locality,-26.79752,150.71896,315,36,23868,57.63300,Western Downs (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
1503,Boondall,Brisbane,QLD,Queensland,4034,Suburb,-27.34868,153.06016,18,9217,34996,10.86900,Brisbane (City),Brisbane - North,Australia/Brisbane
1504,Boondandilla,,QLD,Queensland,4406,Rural locality,-27.89464,150.59658,305,0,0,272.95300,Goondiwindi (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
1505,Boondooma,,QLD,Queensland,4613,Rural locality,-26.29473,151.26126,343,76,22984,831.46800,South Burnett (Regional Council),Wide Bay,Australia/Brisbane
1506,Boonerdo,,SA,South Australia,5633,Rural locality,-33.56252,135.97624,98,19,35360,213.62700,Cleve (District Council),South Australia - Outback,Australia/Adelaide
1507,Boonoo Boonoo,,NSW,New South Wales,2372,Rural locality,-28.87408,152.10229,982,16,22100,268.78600,Tenterfield (Area),New England and North West,Australia/Sydney
1508,Boonooroo,,QLD,Queensland,4650,Rural locality,-25.66759,152.89515,6,322,22152,11.81800,Fraser Coast (Regional Council),Wide Bay,Australia/Brisbane
1509,Boonooroo Plains,Maryborough,QLD,Queensland,4650,Suburb,-25.56138,152.74512,22,3,0,74.87500,Fraser Coast (Regional Council),Wide Bay,Australia/Brisbane
1510,Boorabbin,,WA,Western Australia,6429,Rural locality,-30.95306,120.15778,380,7,18824,2272.04600,Coolgardie (Shire),Western Australia - Outback (South),Australia/Perth
1511,Boorabee Park,,NSW,New South Wales,2480,Rural locality,-28.70836,153.06138,57,104,31980,42.75500,Kyogle (Area),Richmond - Tweed,Australia/Sydney
1512,Booragoon,Perth,WA,Western Australia,6154,Suburb,-32.03585,115.83226,36,5532,37388,3.06000,Melville (City),Perth - South West,Australia/Perth
1513,Booragul,Newcastle,NSW,New South Wales,2284,Suburb,-32.97613,151.60589,14,1281,26520,1.24200,Lake Macquarie (City),Newcastle and Lake Macquarie,Australia/Sydney
1514,Booral,,NSW,New South Wales,2425,Rural locality,-32.47975,152.00175,54,407,31252,140.64600,Mid-Coast (Area),Mid North Coast,Australia/Sydney
1515,Booral,,QLD,Queensland,4655,Urban locality,-25.35272,152.89079,39,1540,23764,27.85600,Fraser Coast (Regional Council),Wide Bay,Australia/Brisbane
1516,Booralaming,,WA,Western Australia,6475,Rural locality,-30.90556,117.38000,316,12,46748,304.82500,Koorda (Shire),Western Australia - Wheat Belt,Australia/Perth
1517,Boorara,,WA,Western Australia,6431,Rural locality,-30.80194,121.63667,397,0,0,35.28900,Kalgoorlie/Boulder (City),Western Australia - Outback (South),Australia/Perth
1518,Boorara Brook,,WA,Western Australia,6262,Rural locality,-34.68604,116.21345,78,126,22204,280.25700,Manjimup (Shire),Bunbury,Australia/Perth
1519,Boorcan,,VIC,Victoria,3265,Rural locality,-38.21456,143.01330,146,146,31148,61.90300,Corangamite (Shire),Warrnambool and South West,Australia/Melbourne
1520,Boorga,,NSW,New South Wales,2652,Rural locality,-34.03944,146.03017,171,14,58448,253.18100,Carrathool (Area),Riverina,Australia/Sydney
1521,Boorganna,,NSW,New South Wales,2429,Rural locality,-31.63353,152.39565,633,28,20124,51.95600,Port Macquarie-Hastings (Area),Mid North Coast,Australia/Sydney
1522,Boorhaman,,VIC,Victoria,3678,Rural locality,-36.23038,146.30446,152,129,27456,92.14200,Wangaratta (Rural City),Hume,Australia/Melbourne
1523,Boorhaman East,,VIC,Victoria,3678,Rural locality,-36.17610,146.31477,142,17,39624,32.47700,Wangaratta (Rural City),Hume,Australia/Melbourne
1524,Boorhaman North,,VIC,Victoria,3685,Rural locality,-36.09885,146.22236,138,49,34528,38.65600,Wangaratta (Rural City),Hume,Australia/Melbourne
1525,Boorolite,,VIC,Victoria,3723,Rural locality,-37.15114,146.20598,401,143,35568,74.44300,Mansfield (Shire),Hume,Australia/Melbourne
1526,Boorolong,,NSW,New South Wales,2350,Rural locality,-30.32979,151.53254,1152,88,24024,271.14400,Armidale Regional (Area),New England and North West,Australia/Sydney
1527,Booroobin,,QLD,Queensland,4552,Rural locality,-26.82754,152.81319,347,260,31460,38.64400,Sunshine Coast (Regional Council),Sunshine Coast,Australia/Brisbane
1528,Boorook,,NSW,New South Wales,2372,Rural locality,-28.85927,152.24575,600,33,19448,433.96300,Tenterfield (Area),New England and North West,Australia/Sydney
1529,Boorool,,VIC,Victoria,3953,Rural locality,-38.44338,146.07718,148,51,29380,14.36000,South Gippsland (Shire),Latrobe - Gippsland,Australia/Melbourne
1530,Boorooma,,NSW,New South Wales,2650,Urban locality,-35.07401,147.36543,190,863,41756,1.50200,Wagga Wagga (City),Riverina,Australia/Sydney
1531,Booroorban,,NSW,New South Wales,2710,Rural locality,-34.93111,144.76305,84,33,28340,1294.41400,Edward River (Area),Murray,Australia/Sydney
1532,Boorowa,,NSW,New South Wales,2586,Urban locality,-34.43860,148.71633,492,1641,29120,754.78000,Hilltops (Area),Capital Region,Australia/Sydney
1533,Boors Plain,,SA,South Australia,5554,Rural locality,-34.02523,137.66653,58,69,42484,102.40300,Copper Coast (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
1534,Boort,,VIC,Victoria,3537,Urban locality,-36.11684,143.72559,99,873,24440,255.74800,Loddon (Shire),Bendigo,Australia/Melbourne
1535,Boosey,,VIC,Victoria,3730,Rural locality,-36.05528,145.79586,118,105,26364,46.87700,Moira (Shire),Shepparton,Australia/Melbourne
1536,Bootawa,,NSW,New South Wales,2430,Rural locality,-31.91439,152.37358,33,169,26624,27.19700,Mid-Coast (Area),Mid North Coast,Australia/Sydney
1537,Bootenal,,WA,Western Australia,6532,Rural locality,-28.85628,114.72990,22,41,19448,25.63000,Greater Geraldton (City),Western Australia - Outback (South),Australia/Perth
1538,Booth,,ACT,Australian Capital Territory,2620,Rural locality,-35.61607,149.04946,790,31,66300,116.07700,Unincorporated,Australian Capital Territory,Australia/Sydney
1539,Boothendarra,,WA,Western Australia,6521,Rural locality,-30.20917,115.61389,270,27,46748,629.02200,Dandaragan (Shire),Western Australia - Wheat Belt,Australia/Perth
1540,Booti Booti,,NSW,New South Wales,2428,Urban locality,-32.31060,152.51646,13,0,0,2.55100,Mid-Coast (Area),Mid North Coast,Australia/Sydney
1541,Booubyjan,,QLD,Queensland,4601,Rural locality,-25.93761,151.97020,197,109,23712,500.77000,Gympie (Regional Council),Wide Bay,Australia/Brisbane
1542,Booval,Brisbane,QLD,Queensland,4304,Suburb,-27.61436,152.78886,38,2622,26416,1.70000,Ipswich (City),Ipswich,Australia/Brisbane
1543,Booyal,,QLD,Queensland,4671,Rural locality,-25.21479,152.03677,92,275,24232,229.94300,Bundaberg (Regional Council),Wide Bay,Australia/Brisbane
1544,Booyong,,NSW,New South Wales,2480,Rural locality,-28.74711,153.45142,35,76,35724,9.30000,Byron (Area),Richmond - Tweed,Australia/Sydney
1545,Bo Peep,,VIC,Victoria,3351,Rural locality,-37.52740,143.67861,393,21,37700,12.53100,Ballarat (City),Ballarat,Australia/Melbourne
1546,Borah Creek,,NSW,New South Wales,2346,Rural locality,-30.60926,150.50534,616,31,25116,135.90900,Tamworth Regional (Area),New England and North West,Australia/Sydney
1547,Borallon,,QLD,Queensland,4306,Rural locality,-27.49675,152.70350,20,81,32760,13.72000,Somerset (Regional Council),Ipswich,Australia/Brisbane
1548,Boralma,,VIC,Victoria,3682,Rural locality,-36.24395,146.41168,159,69,31824,37.73600,Wangaratta (Rural City),Hume,Australia/Melbourne
1549,Borambola,,NSW,New South Wales,2650,Rural locality,-35.17161,147.69271,202,107,39624,147.22600,Wagga Wagga (City),Riverina,Australia/Sydney
1550,Boranup,,WA,Western Australia,6286,Rural locality,-34.14261,115.08276,71,4,0,105.26900,Augusta-Margaret River (Shire),Bunbury,Australia/Perth
1551,Bora Ridge,,NSW,New South Wales,2471,Rural locality,-29.04509,153.22675,25,113,27768,79.73800,Richmond Valley (Area),Richmond - Tweed,Australia/Sydney
1552,Borden,,WA,Western Australia,6338,Rural locality,-34.07224,118.26487,219,62,29900,0.78700,Gnowangerup (Shire),Western Australia - Wheat Belt,Australia/Perth
1553,Borderdale,,WA,Western Australia,6320,Rural locality,-34.05222,117.39833,281,41,35100,146.17000,Broomehill-Tambellup (Shire),Western Australia - Wheat Belt,Australia/Perth
1554,Border Ranges,,NSW,New South Wales,2474,Rural locality,-28.38626,153.08256,959,0,0,94.24400,Kyogle (Area),Richmond - Tweed,Australia/Sydney
1555,Bordertown,,SA,South Australia,5268,Urban locality,-36.31136,140.77352,82,2953,34424,141.72600,Tatiara (District Council),South Australia - South East,Australia/Adelaide
1556,Bordertown South,,SA,South Australia,5268,Rural locality,-36.42611,140.73128,89,44,34424,53.85200,Tatiara (District Council),South Australia - South East,Australia/Adelaide
1557,Boree,,NSW,New South Wales,2800,Rural locality,-33.25176,148.84467,537,93,46800,47.50900,Cabonne (Area),Central West,Australia/Sydney
1558,Boree Creek,,NSW,New South Wales,2652,Rural locality,-35.10618,146.61426,151,199,25688,752.99100,Federation (Area),Riverina,Australia/Sydney
1559,Boreen Point,,QLD,Queensland,4565,Urban locality,-26.28624,152.99392,22,328,23556,5.25700,Noosa (Shire),Sunshine Coast,Australia/Brisbane
1560,Borenore,,NSW,New South Wales,2800,Rural locality,-33.24729,148.97451,797,462,40456,88.15800,Cabonne (Area),Central West,Australia/Sydney
1561,Bornes Hill,,VIC,Victoria,3379,Rural locality,-37.53404,142.52144,253,30,28600,233.33400,Ararat (Rural City),North West,Australia/Melbourne
